id,kind,code,gen_time,deadline_abs,retention_abs,admitted,outcome,terminal_time,attempts,first_tx_time,rx_first_time,rx_on_time,rx_latency_ms,rx_dups,rx_oow
1,RAISE,1,3210,3610,6210,1,ACKED,3260,1,3220,3240,1,30,0,0
2,CLEAR,1,3700,4100,6700,1,ACKED,3750,1,3710,3730,1,30,0,0
3,RAISE,1,6210,6610,9210,1,ACKED,6260,1,6220,6240,1,30,0,0
4,CLEAR,1,6700,7100,9700,1,ACKED,6740,1,6700,6720,1,20,0,0
5,RAISE,2,6878,7278,9878,1,ACKED,6930,1,6890,6910,1,32,0,0
6,RAISE,2,7430,7830,10430,1,ACKED,9270,7,7430,9250,0,1820,0,0
7,RAISE,1,9210,9610,12210,1,ACKED,9560,2,9220,9540,1,330,0,0
8,RAISE,2,9496,9896,12496,1,ACKED,9540,1,9500,9520,1,24,0,0
9,CLEAR,1,9700,10100,12700,1,ACKED,9740,1,9700,9720,1,20,0,0
10,RAISE,2,9989,10389,12989,1,ACKED,10340,2,10000,10320,1,331,0,0
11,RAISE,2,10111,10511,13111,1,ACKED,10160,1,10120,10140,1,29,0,0
12,RAISE,2,10261,10661,13261,1,ACKED,10310,1,10270,10290,1,29,0,0
13,RAISE,2,10575,10975,13575,1,ACKED,10620,1,10580,10600,1,25,0,0
14,RAISE,2,10695,11095,13695,1,ACKED,10740,1,10700,10720,1,25,0,0
15,RAISE,2,10967,11367,13967,1,ACKED,11010,1,10970,10990,1,23,0,0
16,RAISE,1,12210,12610,15210,1,ACKED,12570,2,12230,12550,1,340,0,0
17,CLEAR,1,12700,13100,15700,1,ACKED,12740,1,12700,12720,1,20,0,0
18,RAISE,1,15210,15610,18210,1,ACKED,15250,1,15210,15230,1,20,0,0
19,RAISE,2,15261,15661,18261,1,ACKED,15320,1,15280,15300,1,39,0,0
20,RAISE,2,15300,15700,18300,1,ACKED,15340,1,15300,15320,1,20,0,0
21,CLEAR,1,15700,16100,18700,1,ACKED,15760,1,15720,15740,1,40,0,0
22,RAISE,1,18210,18610,21210,1,ACKED,18270,1,18230,18250,1,40,0,0
23,CLEAR,1,18700,19100,21700,1,ACKED,18750,1,18710,18730,1,30,0,0
24,RAISE,2,18995,19395,21995,1,ACKED,19040,1,19000,19020,1,25,0,0
25,RAISE,2,19923,20323,22923,1,ACKED,19970,1,19930,19950,1,27,0,0
26,RAISE,1,21210,21610,24210,1,ACKED,21270,1,21230,21250,1,40,0,0
27,RAISE,2,21398,21798,24398,1,ACKED,21440,1,21400,21420,1,22,0,0
28,CLEAR,1,21700,22100,24700,1,ACKED,22350,3,21710,21730,1,30,1,0
29,RAISE,2,21911,22311,24911,1,ACKED,21960,1,21920,21940,1,29,0,0
30,RAISE,1,24210,24610,27210,1,ACKED,24250,1,24210,24230,1,20,0,0
31,RAISE,2,24587,24987,27587,1,ACKED,24630,1,24590,24610,1,23,0,0
32,CLEAR,1,24700,25100,27700,1,ACKED,24770,1,24730,24750,1,50,0,0
33,RAISE,2,25179,25579,28179,1,ACKED,25230,1,25190,25210,1,31,0,0
34,RAISE,2,25573,25973,28573,1,ACKED,25620,1,25580,25600,1,27,0,0
35,RAISE,2,25895,26295,28895,1,ACKED,27450,6,25910,27430,0,1535,0,0
36,RAISE,1,27210,27610,30210,1,ACKED,27260,1,27220,27240,1,30,0,0
37,CLEAR,1,27700,28100,30700,1,ACKED,27740,1,27700,27720,1,20,0,0
38,RAISE,2,28698,29098,31698,1,ACKED,28750,1,28710,28730,1,32,0,0
